trans_id,buffercheck,street_direction,street_name,street_type,second_street_direction,row_id_1,zone_1,buffer_1,status_1,odd_even_1,ar_low_1,ar_high_1,row_id_2,zone_2,buffer_2,status_2,odd_even_2,ar_low_2,ar_high_2,row_id_3,zone_3,buffer_3,status_3,odd_even_3,ar_low_3,ar_high_3,row_id_4,zone_4,buffer_4,status_4,odd_even_4,ar_low_4,ar_high_4,row_id_5,zone_5,buffer_5,status_5,odd_even_5,ar_low_5,ar_high_5,row_id_6,zone_6,buffer_6,status_6,odd_even_6,ar_low_6,ar_high_6,geom,geomtext
102054,Buffer Only,N,MAGNOLIA,AVE,,2738,1130,Buffer,ACTIVE,E,4700,4798,2739,1130,Buffer,ACTIVE,O,4701,4799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0105000020E6100000010000000102000000070000001628CBFE4FEA55C0429FED6FCCFB4440D3FCF21550EA55C0FC77DB03CFFB4440D95F3DB050EA55C043D3DD4BDDFB4440C456E63451EA55C01580F715E9FB444059C1F7B651EA55C07C32FAF7F4FB44407223040852EA55C05DB2E2D1FCFB4440AF200E8052EA55C02097AF3A08FC4440,"MULTILINESTRING((-87.6611325248672 41.9671764288201,-87.66113804559 41.9672550984978,-87.6611748313293 41.9676909287578,-87.6612064599422 41.9680507143495,-87.6612374705777 41.9684133502642,-87.6612567940154 41.9686529499929,-87.661285413548 41.9690011365294))"
120611,Zone Only,W,THOMAS,ST,,5658,1179,Zone,ACTIVE,E,4502,4526,2984,1179,Zone,ACTIVE,O,4501,4527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0105000020E6100000010000000102000000040000000CF2457844EF55C000AF707648F3444071D8B7C34AEF55C04C95D54648F34440EB5BDA3751EF55C0EC5F651848F3444041CAA09959EF55C0DB06FEE647F34440,"MULTILINESTRING((-87.7385540659963 41.9006488847936,-87.7389382644049 41.9006432097327,-87.7393321640408 41.9006376738542,-87.7398437566963 41.9006317844739))"
103893,Zone Only,N,HERMITAGE,AVE,,1880,154,Zone,ACTIVE,E,1900,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0105000020E610000001000000010200000005000000340C29CEF9EA55C0CD45E22941F544408F870901FAEA55C095C00A2050F5444042C66163FAEA55C02FF5900B6DF54440C4E3F665FAEA55C035CE1AD46DF54440BF371498FAEA55C037045A047DF54440,"MULTILINESTRING((-87.6714969063622 41.9160511355254,-87.6715090363561 41.9165077259542,-87.6715324835614 41.917390294819,-87.6715330992729 41.9174142008673,-87.6715450475158 41.91787771602))"
127350,Zone Only,S,HERMITAGE,AVE,,1888,282,Zone,ACTIVE,E,6100,6152,5340,282,Zone,ACTIVE,O,6101,6151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0105000020E6100000010000000102000000050000003A550D82BFEA55C033A5CAD936E4444021708077BFEA55C0F5AE2BE632E444406C64F029BFEA55C0ED5DEF6B1AE44440F85398DDBEEA55C06871AC1D03E4444003A155D6BEEA55C02468A2D0FFE34440,"MULTILINESTRING((-87.6679387216763 41.7829239119987,-87.6679362062719 41.7828033173845,-87.6679177138882 41.7820563238891,-87.66789951206 41.7813450901038,-87.6678977810116 41.7812443535807))"
138567,Zone Only,S,JUSTINE,ST,,2624,253,Zone,ACTIVE,E,8716,8754,5495,253,Zone,ACTIVE,O,8715,8753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0105000020E61000000100000001020000000800000021A9B0BA5BEA55C0087120F52EDE4440AFF9587C5BEA55C0F5BE0CB01DDE444071C2A5555BEA55C06D5D99F712DE44403BF0D0485BEA55C0A49297870EDE444097E6D7335BEA55C08635607007DE4440B8156D185BEA55C02B115F7E01DE44407FDE84005BEA55C06D689224FCDD444005ED19E15AEA55C060DE9A61F3DD4440,"MULTILINESTRING((-87.6618487096025 41.7358080299765,-87.6618338459873 41.7352809965359,-87.6618246191736 41.7349538325169,-87.6618215599455 41.7348184099294,-87.6618165596395 41.7346020192881,-87.6618100228578 41.7344205822177,-87.6618043229628 41.7342572893984,-87.6617968323881 41.7339899069018))"
154894,Zone Only,W,50TH,ST,,468,197,Zone,ACTIVE,O,2207,2255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0105000020E6100000010000000102000000020000001FDFD60E76EB55C03855CEE9C8E64440C25CADCB83EB55C086F31BC3C8E64440,"MULTILINESTRING((-87.6790806864123 41.8030063874707,-87.6799191658966 41.8030017744523))"
107886,Buffer Only,N,MILWAUKEE,AVE,,2429,94,Buffer,ACTIVE,E,3444,3446,2430,94,Buffer,ACTIVE,O,3445,3445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0105000020E61000000100000001020000000300000071ACF5FFCBEE55C00262E01EC7F84440331CBBD9D2EE55C02E40B284CFF84440057FBDADDBEE55C0DBCDE034DAF84440,"MULTILINESTRING((-87.7312011622578 41.943576678812,-87.7316192939041 41.9438329573025,-87.732158122115 41.9441591355969))"
107887,Zone Only,W,ROSCOE,ST,,3509,586,Zone,ACTIVE,E,4132,4154,6254,586,Zone,ACTIVE,O,4133,4155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0105000020E610000001000000010200000006000000ED00565BC9EE55C07568E8E9A9F84440E111688BCDEE55C01B0A1ACEA9F84440A8B82E81CEEE55C05FFDB9C7A9F84440B383472AD0EE55C0FFB4B2BCA9F84440DB6CE574D7EE55C0EAF12089A9F8444080F9CB29DBEE55C041CD1171A9F84440,"MULTILINESTRING((-87.7310398425941 41.942685354691,-87.7312954441363 41.9426820399423,-87.7313540416968 41.94268127996,-87.7314553926833 41.9426799652665,-87.7319004288178 41.942673817717,-87.7321266643467 41.9426709496424))"
100360,Zone Only,N,GREENVIEW,AVE,,8619,56,Zone,ACTIVE,O,6415,6935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0105000020E610000001000000010200000005000000857C7BE3BFEA55C02CB0BB08C2FF44400198810CC0EA55C012C5BCBED0FF44400326B60CC0EA55C0876950CFD0FF44409B75522BC0EA55C04302D67FDAFF44401D7C2A3DC0EA55C04F042D63DFFF4440,"MULTILINESTRING((-87.6679619508669 41.9981089512297,-87.6679717317165 41.9985578939178,-87.6679717806619 41.9985598700178,-87.6679790787952 41.9988555712667,-87.6679833331004 41.9990047426041))"
107881,Buffer Only,N,MILWAUKEE,AVE,,2431,94,Buffer,ACTIVE,E,3570,3594,2432,94,Buffer,ACTIVE,O,3571,3593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0105000020E6100000010000000102000000060000006B0FBE7BEBEE55C0D0AA8C5DEDF84440B45BC5A7EDEE55C0ACC0D505F0F84440725FC9CCF0EE55C092499CD1F3F844400F351E49F8EE55C066C3F5FFFCF84440E3082C7DFFEE55C00A33B6C805F94440535B607A06EF55C02FC7DC490EF94440,"MULTILINESTRING((-87.7331227642114 41.9447438179828,-87.7332553317381 41.9448249143328,-87.7334472624332 41.9449407590029,-87.733904151439 41.9452209424988,-87.7343438081767 41.9454890145917,-87.7347703877434 41.9457485511797))"
